[2026-02-07 06:19:13] testing.WARNING: No shipping rate found {"method_code":"standard","country_code":"GR","postal_code":null,"subtotal":49.0} 
[2026-02-07 06:19:13] testing.WARNING: No shipping rate found {"method_code":"standard","country_code":"GR","postal_code":null,"subtotal":49.0} 
[2026-02-07 06:19:14] testing.WARNING: No shipping rate found {"method_code":"standard","country_code":"GR","postal_code":null,"subtotal":0.0} 
[2026-02-07 06:19:14] testing.WARNING: No shipping rate found {"method_code":"standard","country_code":"GR","postal_code":null,"subtotal":0.0} 
[2026-02-07 06:19:16] testing.WARNING: No shipping rate found {"method_code":"standard","country_code":"GR","postal_code":null,"subtotal":0.0} 
[2026-02-07 06:19:16] testing.WARNING: No shipping rate found {"method_code":"standard","country_code":"GR","postal_code":null,"subtotal":0.0} 
[2026-02-07 06:19:17] testing.WARNING: No shipping rate found {"method_code":"standard","country_code":"GR","postal_code":null,"subtotal":15.0} 
[2026-02-07 06:19:17] testing.WARNING: No shipping rate found {"method_code":"standard","country_code":"GR","postal_code":null,"subtotal":15.0} 
[2026-02-07 06:19:17] testing.WARNING: No shipping rate found {"method_code":"standard","country_code":"GR","postal_code":null,"subtotal":15.0} 
[2026-02-07 06:19:17] testing.WARNING: No shipping rate found {"method_code":"standard","country_code":"GR","postal_code":null,"subtotal":15.0} 
[2026-02-07 06:19:20] testing.WARNING: No shipping rate found {"method_code":"standard","country_code":"GR","postal_code":null,"subtotal":25.0} 
[2026-02-07 06:19:20] testing.WARNING: No shipping rate found {"method_code":"standard","country_code":"GR","postal_code":null,"subtotal":25.0} 
[2026-02-07 06:19:20] testing.WARNING: No shipping rate found {"method_code":"standard","country_code":"GR","postal_code":null,"subtotal":25.0} 
[2026-02-07 06:19:20] testing.WARNING: No shipping rate found {"method_code":"standard","country_code":"GR","postal_code":null,"subtotal":25.0} 
[2026-02-07 06:19:20] testing.WARNING: No shipping rate found {"method_code":"standard","country_code":"GR","postal_code":null,"subtotal":30.0} 
[2026-02-07 06:19:20] testing.WARNING: No shipping rate found {"method_code":"standard","country_code":"GR","postal_code":null,"subtotal":30.0} 
[2026-02-07 06:19:20] testing.WARNING: No shipping rate found {"method_code":"standard","country_code":"GR","postal_code":null,"subtotal":30.0} 
[2026-02-07 06:19:20] testing.WARNING: No shipping rate found {"method_code":"standard","country_code":"GR","postal_code":null,"subtotal":30.0} 
[2026-02-07 06:19:21] testing.WARNING: No shipping rate found {"method_code":"standard","country_code":"GR","postal_code":null,"subtotal":12.0} 
[2026-02-07 06:19:21] testing.WARNING: No shipping rate found {"method_code":"standard","country_code":"GR","postal_code":null,"subtotal":12.0} 
[2026-02-07 06:19:22] testing.WARNING: No shipping rate found {"method_code":"standard","country_code":"GR","postal_code":null,"subtotal":10.0} 
[2026-02-07 06:19:22] testing.WARNING: No shipping rate found {"method_code":"standard","country_code":"GR","postal_code":null,"subtotal":10.0} 
[2026-02-07 06:19:23] testing.WARNING: No shipping rate found {"method_code":"standard","country_code":"GR","postal_code":null,"subtotal":10.0} 
[2026-02-07 06:19:23] testing.WARNING: No shipping rate found {"method_code":"standard","country_code":"GR","postal_code":null,"subtotal":10.0} 
